Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
3902,D1826 over river,Bridge,Bridge,9/4/2021,,Mopani,,32,11.2,2,Simply supported,1/1/1975
3906,D212  over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,19.3,12.6,2,Simply supported,1/1/1970
3907,D212  over Dwars river,Bridge,Bridge,8/4/2021,,Sekhukhune,,62.4,12.4,3,Simply supported,1/1/1970
3985,D202 over river,Bridge,Bridge,8/4/2021,,Mopani,,10,12.5,1,Simply supported,1/1/1970
4006,D2534  over Trib of Olifants,Bridge,Bridge,8/19/2021,,Capricorn,,33.7,13.4,4,Simply supported,1/1/2005
4057,P135/1 over river,Bridge,Bridge,8/11/2021,,Vhembe,,40,12.6,8,Simply supported,1/1/1977
411,D1458  over Olifants river,Bridge,Bridge,8/5/2021,,Sekhukhune,,112.8,12.9,6,Continuous,1/1/1985
4112,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,32.8,12.6,4,Simply supported,1/1/1977
4127,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,13.2,17.8,3,Simply supported,1/1/1977
4129,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,12.9,22.5,3,Simply supported,1/1/1977
4130,D930 over Rail,Bridge,Bridge,9/10/2021,,Waterberg,,38,12.4,4,Simply supported,1/1/1985
