Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,District,Municipality,Road No.,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
2208,D567 over Elands river,Bridge,Bridge,9/8/2021,Waterberg,,,6/30/2022,8/16/2021,6681608,11461508,14628600,340120,7606872,30100,48.6,10,5.7,,,,,,,,,,,,,1,0.48,55
2213,D1296  over river,Bridge,Bridge,8/19/2021,Sekhukhune,,,6/30/2022,8/19/2021,2822575,5572635,7278782,613010,3843197,30100,22.6,10.7,4.3,,,,,,,,,,,,,1,0.472,57
2214,D873 over Mogalakwena river,Bridge,Bridge,8/26/2021,Capricorn,,,6/30/2022,8/26/2021,8054674,16009175,18285750,576200,9654876,30100,112.5,5.4,6.33,,,,,,,,,,,,,1,0.472,57
2222,D1296  over Steelpoort river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,14181326,25931998,30045180,0,15863858,45140,64,10.4,10,,,,,,,,,,,,,1,0.472,57
2236,D856  over Moses river,Bridge,Bridge,8/2/2021,Sekhukhune,,,6/30/2022,8/2/2021,5147320,10146573,13489200,1219580,7122295,30100,38.7,11.58,0,,,,,,,,,,,,,1,0.472,57
2250,D1200 over Sand River,Bridge,Bridge,8/4/2021,Capricorn,,,6/30/2022,8/4/2021,9735723,17891947,21404410,709630,10959059,30100,79.9,8.9,6.7,,,,,,,,,,,,,1,0.488,53
2279,D17 over Brak River,Bridge,Bridge,8/10/2021,Vhembe,,,6/30/2022,8/10/2021,1714724,3565423,3655344,25220,1915400,30100,13.2,9.2,4,,,,,,,,,,,,,1,0.476,56
2286,D885 over Roodesloot ,Bridge,Bridge,8/19/2021,Capricorn,,,6/30/2022,8/19/2021,3772059,9274576,10088740,1030180,5286498,30100,26.9,12.46,3.89,,,,,,,,,,,,,1,0.476,56
2311,Rail over D2537,Bridge,Bridge,8/18/2021,Sekhukhune,,,6/30/2022,8/18/2021,1357953,2719923,2985318,75000,1552365,30100,17.1,5.8,5.4,,,,,,,,,,,,,1,0.48,55
2322,D2535  over Moses river,Bridge,Bridge,8/3/2021,Sekhukhune,,,6/30/2022,8/3/2021,6259402,11336821,14829070,858550,7711114,30100,48.3,10.2,5.6,,,,,,,,,,,,,1,0.48,55
2324,D17 over river,Bridge,Bridge,8/10/2021,Vhembe,,,6/30/2022,8/10/2021,2591699,4915501,5532982,42000,2899283,30100,20.2,9.1,3.47,,,,,,,,,,,,,1,0.476,56
2327,D192 over Sterk river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,9032110,15855079,18611430,459720,9119602,30100,52.4,11.8,5.4,,,,,,,,,,,,,1,0.51,49
2328,D673 over Rail,Bridge,Bridge,9/2/2021,Mopani,,,6/30/2022,9/2/2021,968047,4134762,4326875,1126160,2232668,30100,11.5,12.5,5.5,,,,,,,,,,,,,1,0.484,54
2349,D523 over Hamawasha river,Bridge,Bridge,8/5/2021,Mopani,,,6/30/2022,8/5/2021,1584766,3360405,3496416,9600,1902050,30100,13.2,8.8,3.8,,,,,,,,,,,,,1,0.456,61
2356A,P134/2 over Rail,Bridge,Bridge,1/27/2022,Waterberg,,,6/30/2022,1/21/2022,9214099,16326778,18195450,65580,8915771,30100,39,15.5,5.34,,,,,,,,,,,,,1,0.51,49
2362,P51/3 over Diepkloof river,Bridge,Bridge,2/2/2022,Sekhukhune,,,6/30/2022,1/20/2022,6068612,11486480,12538460,0,6469844,30100,32.8,12.7,4.5,,,,,,,,,,,,,1,0.484,54
2383,D673 over river,Bridge,Bridge,9/2/2021,Mopani,,,6/30/2022,9/2/2021,5262281,10834775,11032250,33200,5736771,30100,30.8,11.9,7,,,,,,,,,,,,,1,0.48,55
2399,P110/1 over Pienaars river,Bridge,Bridge,2/7/2022,Waterberg,,,6/30/2022,1/5/2009,9544924,19720918,19720920,0,10175994,30100,69.7,9.4,5.4,,,,,,,,,,,,,1,0.484,54
2424,D548 over river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,1534022,3188522,3224312,750,1689540,30100,10.3,10.4,3.3,,,,,,,,,,,,,1,0.476,56
2444,P94/2 over river,Bridge,Bridge,8/10/2021,Vhembe,,,6/30/2022,8/10/2021,5155620,8884987,10699650,301200,5242827,30100,28.9,12.3,2.09,,,,,,,,,,,,,1,0.51,49
2445,P94/2 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,4712963,9180105,9700026,234050,4753013,30100,26.2,12.3,1.5,,,,,,,,,,,,,1,0.51,49
2446,P94/2 over Setonki River,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,7938257,17253542,19707070,2112350,9656465,30100,52.8,12.4,4,,,,,,,,,,,,,1,0.51,49
2450,D673 over river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,2864028,5811280,6046488,14100,3168360,30100,16.2,12.4,7.2,,,,,,,,,,,,,1,0.476,56
2453,D2748 over Sand river,Bridge,Bridge,7/28/2021,Waterberg,,,6/30/2022,6/29/2021,1751616,3905763,4366908,344500,2270792,30100,15.6,9.3,4.2,,,,,,,,,,,,,1,0.48,55
2455,D673 over river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,1515952,5580600,5874316,1303720,3054644,30100,16.4,11.9,4.8,,,,,,,,,,,,,1,0.48,55
2522,D1200 over Hout river,Bridge,Bridge,8/4/2021,Capricorn,,,6/30/2022,8/4/2021,9918751,21274845,24036660,1714990,12402915,30100,64.4,12.4,4.88,,,,,,,,,,,,,1,0.484,54
2523,D869 over Brak river,Bridge,Bridge,8/31/2021,Waterberg,,,6/30/2022,6/17/2021,4341704,8577538,10547880,721280,5484899,30100,29.3,11.96,3.96,,,,,,,,,,,,,1,0.48,55
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,Waterberg,,,6/30/2022,6/17/2021,5080321,9278130,11269440,329010,5860109,30100,31.2,12,3.6,,,,,,,,,,,,,1,0.48,55
2526,D1888  over railway,Bridge,Bridge,8/3/2021,Sekhukhune,,,6/30/2022,8/3/2021,5057116,10397720,11197200,317540,5822544,30100,30,12.4,6.8,,,,,,,,,,,,,1,0.48,55
2527,D21 over river,Bridge,Bridge,9/4/2021,Mopani,,,6/30/2022,9/4/2021,2925765,5847152,6083812,18800,3139247,30100,16.3,12.4,1.94,,,,,,,,,,,,,1,0.484,54
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,Capricorn,,,6/30/2022,1/21/2022,12607132,20985534,27652570,776710,14268726,30100,81.3,11.3,5,,,,,,,,,,,,,1,0.484,54
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,Waterberg,,,6/30/2022,6/17/2021,3245941,6160079,7343919,279140,3818838,30100,20.4,11.96,2.4,,,,,,,,,,,,,1,0.48,55
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,Waterberg,,,6/30/2022,6/17/2021,3775450,6726831,9287355,682480,4829425,30100,25.5,12.1,2.7,,,,,,,,,,,,,1,0.48,55
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,Mopani,,,6/30/2022,9/4/2021,6393984,17911716,19336840,2887700,10055158,30100,49.8,12.9,4.3,,,,,,,,,,,,,1,0.48,55
2569,D86 over Rail,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,1511212,3089160,3159296,5250,1642834,30100,6.4,16.4,6,,,,,,,,,,,,,1,0.48,55
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,Vhembe,,,6/30/2022,8/14/2021,5568071,10993378,12115250,295710,6251469,30100,32.2,12.5,3.78,,,,,,,,,,,,,1,0.484,54
2726,P142/1 over river,Bridge,Bridge,9/4/2021,Mopani,,,6/30/2022,9/4/2021,2741899,5626152,5887560,107680,3037981,30100,16.3,12,6,,,,,,,,,,,,,1,0.484,54
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,Waterberg,,,6/30/2022,8/12/2021,8675646,14756021,18586750,320340,9590764,30100,50,12.35,6.1,,,,,,,,,,,,,1,0.484,54
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,Waterberg,,,6/30/2022,7/13/2021,7448393,11539041,15761560,243250,8069921,30100,49.4,10.6,4,,,,,,,,,,,,,1,0.488,53
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,Sekhukhune,,,6/30/2022,8/12/2021,5552344,10328092,12649220,898760,6198120,30100,34,12.36,4.8,,,,,,,,,,,,,1,0.51,49
2744,D2534 over canal,Bridge,Bridge,8/19/2021,Capricorn,,,6/30/2022,8/19/2021,1538396,3221513,3391066,102880,1749790,30100,8.6,13.1,1.75,,,,,,,,,,,,,1,0.484,54
2745,P207/1  over Groblersdal river,Bridge,Bridge,7/27/2021,Sekhukhune,,,6/30/2022,7/27/2021,6982556,15439165,17127980,1375900,8769528,30100,45.89,12.4,3,,,,,,,,,,,,,1,0.488,53
2746,P207/1 over canal,Bridge,Bridge Cellular,7/27/2021,Sekhukhune,,,6/30/2022,7/27/2021,1294346,2597812,2597813,76000,1227466,24450,,,,,8.5,12.5,0,,,,,,,,,,0.528,54
2747,P207/1 over canal,Bridge,Bridge Cellular,7/27/2021,,,,6/30/2022,7/27/2021,1715351,3251850,3251850,0,1536499,24450,,,,,10,13.3,0,,,,,,,,,,0.528,54
2748,D959 over river,Bridge,Bridge,8/14/2021,Vhembe,,,6/30/2022,8/14/2021,6122804,11840813,13319250,376990,6819456,30100,35.4,12.5,3.86,,,,,,,,,,,,,1,0.488,53
2804,P43/3 over river,Bridge,Bridge,1/31/2022,Mopani,,,6/30/2022,1/16/2022,2890370,5706690,5971840,0,3081470,30100,16,12.4,4.5,,,,,,,,,,,,,1,0.484,54
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,Vhembe,,,6/30/2022,9/5/2021,13142159,24470179,26162920,200930,12819831,30100,82,10.6,4.74,,,,,,,,,,,,,1,0.51,49
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,Sekhukhune,,,6/30/2022,7/27/2021,4580043,8697137,9822834,527830,4714961,30100,25.9,12.6,5.2,,,,,,,,,,,,,1,0.52,48
2817,P43/3 over river,Bridge,Bridge,2/1/2022,Mopani,,,6/30/2022,1/16/2022,3530463,6281629,7464800,82500,3851837,30100,20,12.4,3,,,,,,,,,,,,,1,0.484,54
2846,P33/1 over Olifants river,Bridge,Bridge,2/7/2022,Capricorn,,,6/30/2022,2/11/2005,28173600,56347200,56347200,0,28173600,30100,156,12,0,,,,,,,,,,,,,1,0.5,50
2852,P98/2 over river,Bridge,Bridge,8/14/2021,Vhembe,,,6/30/2022,8/14/2021,3133856,6215439,6321000,1360,3185784,30100,16.8,12.5,5,,,,,,,,,,,,,1,0.496,51
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,Waterberg,,,6/30/2022,6/15/2021,33324294,56323332,68569920,960666,34284960,45140,123.5,12.3,12,,,,,,,,,,,,,1,0.5,50
2956,D192 over Sekelbos river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,2911524,5349824,6293910,185080,3197306,30100,17,12.3,5.44,,,,,,,,,,,,,1,0.492,52
2987,D1253 over Luvuvhu river,Bridge,Bridge,9/2/2021,Vhembe,,,6/30/2022,9/2/2021,15436322,28470362,31033750,390890,15206538,45140,55,12.5,11.3,,,,,,,,,,,,,1,0.51,49
3015,D5 over Sand river,Bridge,Bridge,7/27/2021,Capricorn,,,6/30/2022,7/27/2021,15104784,29881978,35803950,2510760,18188408,30100,97.5,12.2,6.21,,,,,,,,,,,,,1,0.492,52
3019,D180 over Buffel spruit,Bridge,Bridge,8/23/2021,Waterberg,,,6/30/2022,6/20/2021,2690735,5427791,6233108,126630,3415743,30100,16.7,12.4,4.2,,,,,,,,,,,,,1,0.452,62
3041,D727 over Bier spruit,Bridge,Bridge,8/30/2021,Waterberg,,,6/30/2022,6/14/2021,6728862,13482918,14364920,338680,7297382,30100,49.2,9.7,7.6,,,,,,,,,,,,,1,0.492,52
3048,P169/3  over river,Bridge,Bridge,8/18/2021,Sekhukhune,,,6/30/2022,8/18/2021,1150472,3002249,3639090,639960,1848658,30100,9.3,13,5.1,,,,,,,,,,,,,1,0.492,52
3070,P98/2 over river,Bridge,Bridge,9/4/2021,Vhembe,,,6/30/2022,9/4/2021,5795735,10434013,12219250,265010,6158500,30100,33.55,12.1,2.71,,,,,,,,,,,,,1,0.496,51
3080,D848 over river,Bridge,Bridge,7/31/2021,Mopani,,,6/30/2022,7/31/2021,47889104,92977570,98576730,1399260,49288364,45140,179,12.2,20,,,,,,,,,,,,,1,0.5,50
3081,D848 over Selokwe river,Bridge,Bridge,7/31/2021,Mopani,,,6/30/2022,7/31/2021,28605602,55888379,60302520,1545660,30151262,45140,109.5,12.2,14,,,,,,,,,,,,,1,0.5,50
3087,D1350 over river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,2992399,5985247,6121136,19200,3109537,30100,16.4,12.4,5.92,,,,,,,,,,,,,1,0.492,52
3092,D463 over Sand river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,5170354,11309630,12698890,1179090,6349444,30100,34.3,12.3,6.32,,,,,,,,,,,,,1,0.5,50
3094,P17/3 over river,Bridge,Bridge,1/31/2022,Mopani,,,6/30/2022,1/17/2022,2466084,4061986,5849634,177950,3205600,30100,15.8,12.3,5,,,,,,,,,,,,,1,0.452,62
3095,P17/3 over Lions Donga river,Bridge,Bridge,1/31/2022,Mopani,,,6/30/2022,1/17/2022,4728239,6168892,8722980,243860,3750881,30100,23,12.6,0,,,,,,,,,,,,,1,0.57,43
3119,D345 over Sterk river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,12555844,22085671,25529620,464260,12509512,30100,68.4,12.4,6.7,,,,,,,,,,,,,1,0.51,49
3120,D579 over Palala river,Bridge,Bridge,8/27/2021,Waterberg,,,6/30/2022,6/28/2021,10770735,19804317,22319750,612338,10936679,30100,59.8,12.4,5.2,,,,,,,,,,,,,1,0.51,49
3126,D1034 over Lindersloop,Bridge,Bridge,7/31/2021,Mopani,,,6/30/2022,7/31/2021,12107101,24296425,25762300,671000,12984199,45140,49.2,11.6,9.2,,,,,,,,,,,,,1,0.496,51
3127,D19 over Bloed river,Bridge,Bridge,7/16/2021,Capricorn,,,6/30/2022,7/16/2021,8603243,13881284,18444440,1172310,8668885,30100,49.9,12.28,3.65,,,,,,,,,,,,,1,0.53,47
3182,P33/1 over Motse river,Bridge,Bridge,2/7/2022,Sekhukhune,,,6/30/2022,2/11/2005,24381001,45150000,45150000,0,20768999,30100,125,12,0,,,,,,,,,,,,,1,0.54,46
3188,D4260 over river,Bridge,Bridge,8/12/2021,Sekhukhune,,,6/30/2022,8/12/2021,2341212,4226040,4695600,100500,2253888,30100,13,12,5.5,,,,,,,,,,,,,1,0.52,48
3221,D1656 over Makhutswi river,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,33038122,65930070,70325410,4937600,32349686,45140,127.7,12.2,8.3,,,,,,,,,,,,,1,0.54,46
3222,D1656 over Rail,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,4600535,11187280,11547560,1635150,5311879,30100,27.8,13.8,5.95,,,,,,,,,,,,,1,0.54,46
3236,D928 over river,Bridge,Bridge,8/23/2021,Waterberg,,,6/30/2022,6/20/2021,3075490,5674264,6245750,172300,2997960,30100,16.6,12.5,3.81,,,,,,,,,,,,,1,0.52,48
3252,D617 over river,Bridge,Bridge,7/22/2021,Capricorn,,,6/30/2022,7/22/2021,6769288,13557083,15734780,1098100,7867388,30100,42.5,12.3,3.46,,,,,,,,,,,,,1,0.5,50
3307,D1909 over Klaserie river,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,21224784,40976936,44773750,3400780,20148188,30100,125,11.9,6.5,,,,,,,,,,,,,1,0.55,45
3322,D972 over Melk river,Bridge,Bridge,8/26/2021,Waterberg,,,6/30/2022,6/28/2021,10514327,16084010,19188750,423260,8251163,30100,51,12.5,3.7,,,,,,,,,,,,,1,0.57,43
3323,D972 over Koperspruit river,Bridge,Bridge,8/27/2021,Waterberg,,,6/30/2022,6/28/2021,3078863,5730770,6068160,76580,2912717,30100,16,12.6,5.1,,,,,,,,,,,,,1,0.52,48
3357,D887 over Mogalakwena River,Bridge,Bridge,2/2/2022,Capricorn,,,6/30/2022,1/12/2022,23094101,31948777,37617780,228920,14294755,30100,116.8,10.7,7.8,,,,,,,,,,,,,1,0.62,38
3363,P135/1 over river,Bridge,Bridge,8/12/2021,Vhembe,,,6/30/2022,8/12/2021,11816575,20099199,22123500,351350,9955575,30100,58.8,12.5,2.45,,,,,,,,,,,,,1,0.55,45
3397,D8 over Rail,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,6275758,17327021,17968500,3786600,7906138,30100,36.4,16.4,5.6,,,,,,,,,,,,,1,0.56,44
3420,D192 over Brak river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,2898667,4916040,6145818,235700,3011451,30100,16.6,12.3,4.2,,,,,,,,,,,,,1,0.51,49
3437,D1257 over river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,1620896,3610902,4262160,305600,2335664,30100,11.8,12,4.21,,,,,,,,,,,,,1,0.452,62
3450,D1803 over Blyde river,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,12047419,29066500,29729470,3709200,13972849,30100,80.3,12.3,6.2,,,,,,,,,,,,,1,0.53,47
3452,D192 over Braksloot river,Bridge,Bridge Cellular,9/13/2021,Waterberg,,,6/30/2022,8/2/2021,5721290,8700667,10489050,270580,4497180,24450,,,,,19.5,22,1.75,,,,,,,,,,0.571,49
346,P20/2 over Crocodile river,Bridge,Bridge,8/31/2021,Waterberg,,,6/30/2022,6/15/2021,61993346,64499303,67040120,353970,4692808,45140,138.8,10.7,10.5,,,,,,,,,,,,,1,0.93,7
3524,P43/3 over Road,Bridge,Bridge,2/7/2022,Mopani,,,6/30/2022,2/11/2005,4091673,8668800,8668800,0,4577127,30100,18,16,0,,,,,,,,,,,,,1,0.472,57
3545,D241  over Kruis river,Bridge,Bridge,8/2/2021,Sekhukhune,,,6/30/2022,8/2/2021,2710734,5826283,6169296,497300,2961262,30100,16.8,12.2,7,,,,,,,,,,,,,1,0.52,48
3613,D2672 over BrandBoontjiesriver,Bridge,Bridge,7/31/2021,Mopani,,,6/30/2022,7/31/2021,5769943,11305164,11832910,51850,6011119,30100,33.6,11.7,6.3,,,,,,,,,,,,,1,0.492,52
3618,D202 over Ga-Selati river,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,18415405,32201107,34143900,22300,15706191,45140,62,12.2,8.95,,,,,,,,,,,,,1,0.54,46
3630,D965 over future rail,Bridge,Bridge,9/9/2021,Waterberg,,,6/30/2022,8/3/2021,1518109,2715296,3183978,105720,1560149,30100,8.2,12.9,5.6,,,,,,,,,,,,,1,0.51,49
3649,P54/1 over river,Bridge,Bridge,2/1/2022,Capricorn,,,6/30/2022,1/15/2022,4865860,7629763,9481500,64520,4551120,30100,25,12.6,4.8,,,,,,,,,,,,,1,0.52,48
3661,D202 over river,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,5886495,10731550,11365760,23700,5455565,30100,32,11.8,5.9,,,,,,,,,,,,,1,0.52,48
3664,P165/1 over Andries,Bridge,Bridge Cellular,7/22/2021,Waterberg,,,6/30/2022,7/13/2021,5172396,9207288,10489050,85240,5231414,24450,,,,,30,14.3,0.5,,,,,,,,,,0.501,57
3677,D9 over Nsami river,Bridge,Bridge,1/26/2022,Mopani,,,6/30/2022,1/14/2022,8042335,12693964,14361310,0,6318977,30100,33.6,14.2,7.6,,,,,,,,,,,,,1,0.56,44
3679,D9 over Shingwedzi river,Bridge,Bridge,1/26/2022,Vhembe,,,6/30/2022,1/14/2022,4986919,8667551,9470664,127240,4356505,30100,22.8,13.8,7.2,,,,,,,,,,,,,1,0.54,46
3710,D2657 over Sand river,Bridge,Bridge,7/27/2021,Capricorn,,,6/30/2022,7/27/2021,16109382,24199629,28720190,1122730,11488074,30100,90.1,10.59,6.76,,,,,,,,,,,,,1,0.6,40
3743,D1942 Over River,Bridge,Bridge,8/11/2021,Vhembe,,,6/30/2022,8/11/2021,14560028,26111471,27917750,236380,13121342,30100,74.2,12.5,6.29,,,,,,,,,,,,,1,0.53,47
3773,D1235 over Rhenoster spruit,Bridge,Bridge,8/31/2021,Waterberg,,,6/30/2022,6/15/2021,4752569,8048087,9784908,531282,4501057,30100,25.8,12.6,4.86,,,,,,,,,,,,,1,0.54,46
3832,D1509 over river,Bridge,Bridge,8/31/2021,Mopani,,,6/30/2022,8/31/2021,2040660,3357394,3575880,33350,1501870,30100,10.8,11,6.5,,,,,,,,,,,,,1,0.58,42
3841,D617 over river,Bridge,Bridge,7/27/2021,Capricorn,,,6/30/2022,7/27/2021,1640931,2670016,2852276,127480,1083865,30100,9.2,10.3,5.2,,,,,,,,,,,,,1,0.62,38
3846,P98/2 over river,Bridge,Bridge,8/14/2021,Vhembe,,,6/30/2022,8/14/2021,2990930,5378810,5516728,43270,2482528,30100,11.6,15.8,3,,,,,,,,,,,,,1,0.55,45
3894,D869 over river.,Major Culvert,Culvert Major,9/2/2021,Waterberg,,,6/30/2022,6/16/2021,2816648,3316494,4323983,69610,1437724,24450,,,,,13.1,13.5,0.2,,,,,,,,,,0.668,38
3895,D887 over river,Bridge,Bridge,2/2/2022,Capricorn,,,6/30/2022,1/12/2022,7554047,12079607,13734630,0,6180583,30100,35.1,13,4.63,,,,,,,,,,,,,1,0.55,45
3896,P43/3 over Road,Bridge,Bridge,2/7/2022,Mopani,,,6/30/2022,2/11/2005,5455564,11558400,11558400,0,6102836,30100,24,16,0,,,,,,,,,,,,,1,0.472,57
3899,D2534 over Elands river,Bridge,Bridge,8/19/2021,Capricorn,,,6/30/2022,8/19/2021,31168865,48610029,49496010,13620,18313523,45140,86,12.75,11.6,,,,,,,,,,,,,1,0.63,37
3902,D1826 over river,Bridge,Bridge,9/4/2021,Mopani,,,6/30/2022,9/4/2021,5360156,9775941,10787840,357400,5070284,30100,32,11.2,4.72,,,,,,,,,,,,,1,0.53,47
3906,D212  over river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,2503881,6061458,7319718,1097420,3718417,30100,19.3,12.6,6.9,,,,,,,,,,,,,1,0.492,52
3907,D212  over Dwars river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,17184343,31965672,34927530,0,17743185,45140,62.4,12.4,10.1,,,,,,,,,,,,,1,0.492,52
3985,D202 over river,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,1760950,3501382,3762500,90200,1911350,30100,10,12.5,5.2,,,,,,,,,,,,,1,0.492,52
4006,D2534  over Trib of Olifants,Bridge,Bridge,8/19/2021,Capricorn,,,6/30/2022,8/19/2021,11272543,12681857,13592560,9280,2310735,30100,33.7,13.4,4.98,,,,,,,,,,,,,1,0.83,17
4057,P135/1 over river,Bridge,Bridge,8/11/2021,Vhembe,,,6/30/2022,8/11/2021,8174690,14373954,15170400,169030,6826680,30100,40,12.6,1.67,,,,,,,,,,,,,1,0.55,45
411,D1458  over Olifants river,Bridge,Bridge,8/5/2021,Sekhukhune,,,6/30/2022,8/5/2021,41380993,56593437,65684120,0,24303123,45140,112.8,12.9,10.04,,,,,,,,,,,,,1,0.63,37
4112,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,6781811,11522920,12439730,60040,5597877,30100,32.8,12.6,4.25,,,,,,,,,,,,,1,0.55,45
4127,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,3750263,6691099,7072296,139500,3182533,30100,13.2,17.8,2.84,,,,,,,,,,,,,1,0.55,45
4129,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,4799089,8541700,8736525,6000,3931436,30100,12.9,22.5,3,,,,,,,,,,,,,1,0.55,45
4130,D930 over Rail,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/3/2021,8683961,13042797,14183120,251405,5247754,30100,38,12.4,5.6,,,,,,,,,,,,,1,0.63,37
4133,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,4507508,7733465,8596560,220600,3868452,30100,25.5,11.2,4.67,,,,,,,,,,,,,1,0.55,45
4138,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,3605342,6115568,6523272,47690,2870240,30100,17.2,12.6,3.6,,,,,,,,,,,,,1,0.56,44
4139,D932 over Mmadikiri spruit,Bridge,Bridge,7/22/2021,Waterberg,,,6/30/2022,7/14/2021,9037417,11726340,15496680,415560,6043707,30100,42.2,12.2,4.6,,,,,,,,,,,,,1,0.61,39
4146,D4050 over Mohlapitse river,Bridge,Bridge,8/13/2021,Capricorn,,,6/30/2022,8/13/2021,24695608,27560824,29121750,57880,4368262,30100,90,10.75,4.1,,,,,,,,,,,,,1,0.85,15
4186,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,5117139,9435639,10205100,699770,4388195,30100,32.6,10.4,4,,,,,,,,,,,,,1,0.57,43
4187,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,5579334,10257895,11186360,685030,4922000,30100,32.6,11.4,3.28,,,,,,,,,,,,,1,0.56,44
4188,D175 over Rail,Bridge,Bridge,7/29/2021,Waterberg,,,6/30/2022,6/23/2021,6212364,10714095,11851880,69130,5570381,30100,31.5,12.5,6.45,,,,,,,,,,,,,1,0.53,47
4196,D2701 over Rail,Bridge,Bridge,7/30/2021,Waterberg,,,6/30/2022,6/21/2021,4247453,7550024,8601075,655160,3698462,30100,22.5,12.7,5.44,,,,,,,,,,,,,1,0.57,43
4207,D1483 over Kongo Loop,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,4307516,7581798,7982520,242520,3432484,30100,25.5,10.4,4.73,,,,,,,,,,,,,1,0.57,43
4208,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,6794064,8710338,8710338,0,1916274,30100,27.3,10.6,2.63,,,,,,,,,,,,,1,0.78,22
4210,D1483 Over River,Major Culvert,Culvert Major,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,986561,1604164,1604165,0,617603,24450,,,,,8.1,8.1,0.3,,,,,,,,,,0.615,44
4248,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,4494089,7396246,8201648,180850,3526709,30100,26.2,10.4,2.8,,,,,,,,,,,,,1,0.57,43
4249,D1483 over river,Bridge,Bridge,8/9/2021,Vhembe,,,6/30/2022,8/9/2021,8528127,14938613,15338960,215080,6595753,30100,49,10.4,3,,,,,,,,,,,,,1,0.57,43
4264,D1552 over Strydomsloop,Bridge,Bridge,8/4/2021,Capricorn,,,6/30/2022,8/4/2021,7549788,11307363,13140460,465890,5124778,30100,40.8,10.7,3.62,,,,,,,,,,,,,1,0.61,39
