Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,District,Municipality,Road No.,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
1375,D1858 over Mogol river,Bridge,Bridge,7/29/2021,Waterberg,,,6/30/2022,6/24/2021,6762106,14134071,16210660,370582,9077968,30100,112.2,4.8,7,,,,,,,,,,,,,1,0.44,65
1377,P94/2 over Brak River,Bridge,Bridge,9/4/2021,Vhembe,,,6/30/2022,9/4/2021,6130525,12024449,12764810,200820,6433463,30100,34.2,12.4,3.88,,,,,,,,,,,,,1,0.496,51
1380,D710 over Klein Melk river,Bridge,Bridge,7/26/2021,Waterberg,,,6/30/2022,7/1/2021,6440579,10781167,12290430,73350,5776503,30100,35.2,11.6,5.8,,,,,,,,,,,,,1,0.53,47
1381,D192 over Mmadikiri river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/2/2021,4348804,8081387,9142875,149490,4644581,30100,24.3,12.5,4.1,,,,,,,,,,,,,1,0.492,52
1384,D212 over river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,3580864,5556162,7278180,0,3697316,30100,19.5,12.4,3.35,,,,,,,,,,,,,1,0.492,52
1385,P146/1 over Mbezi river,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,1065358,2314429,2394154,16800,1311996,30100,9.7,8.2,5.76,,,,,,,,,,,,,1,0.452,62
1387,D1888 over Steelpoort river,Bridge,Bridge,8/3/2021,Sekhukhune,,,6/30/2022,8/3/2021,1,1979858,2408000,2326000,1348480,30100,16,5,5.5,,,,,,,,,,,,,1,0.44,65
139,P98/2 over Sand river,Bridge,Bridge,9/4/2021,Vhembe,,,6/30/2022,9/4/2021,17188561,32557709,35551110,444790,17917761,30100,93,12.7,6.68,,,,,,,,,,,,,1,0.496,51
1439,P18/2 over river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,6062636,15419498,17374080,1581960,9729486,30100,46.7,12.36,7.12,,,,,,,,,,,,,1,0.44,65
1446,D1663 over river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,2393842,5119168,5909232,206220,3309170,30100,40.9,4.8,4.9,,,,,,,,,,,,,1,0.44,65
1449,D921 over Rooisloot river,Bridge,Bridge,9/7/2021,Waterberg,,,6/30/2022,8/3/2021,1483867,3267912,3510864,46870,1980127,30100,24.3,4.8,5.2,,,,,,,,,,,,,1,0.436,66
1451,D600 over tobias spruit,Bridge,Bridge Cellular,7/22/2021,Waterberg,,,6/30/2022,7/14/2021,2379281,4008529,4412736,25660,2007795,24450,,,,,18.8,9.6,0.2,,,,,,,,,,0.545,52
1452,D1025 over Palala river,Bridge,Bridge,8/27/2021,Waterberg,,,6/30/2022,6/28/2021,3321347,6174260,7356440,239170,3795923,30100,52,4.7,4.8,,,,,,,,,,,,,1,0.484,54
1458,D1890 over Steelpoort river,Bridge,Bridge,8/4/2021,Sekhukhune,,,6/30/2022,8/4/2021,1839672,4579534,4816000,337160,2639168,30100,32,5,4.2,,,,,,,,,,,,,1,0.452,62
1465,P116/1 over sandspruit,Bridge,Bridge,1/31/2022,Mopani,,,6/30/2022,1/17/2022,17453076,17454953,18766750,0,1313672,30100,57.2,10.9,3.2,,,,,,,,,,,,,1,0.93,7
1511,D175 over Weidhoek spruit,Bridge,Bridge,7/27/2021,Waterberg,,,6/30/2022,6/23/2021,2219531,3532903,4154402,273110,1661761,30100,13.4,10.3,5,,,,,,,,,,,,,1,0.6,40
1535,P135/1 over Nwanedzi river,Bridge,Bridge,8/12/2021,Vhembe,,,6/30/2022,8/12/2021,8339332,13867434,15302840,77230,6886278,30100,41,12.4,3.9,,,,,,,,,,,,,1,0.55,45
1543,D171 over Tambotie river,Bridge,Bridge,8/30/2021,Waterberg,,,6/30/2022,6/25/2021,2181060,6236602,6573840,737725,3655055,30100,26,8.4,4.85,,,,,,,,,,,,,1,0.444,64
1553,D1771 over river,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,5474721,10153650,10361930,17100,4870104,30100,40.5,8.5,1.8,,,,,,,,,,,,,1,0.53,47
1573,P240/1 over Sand river,Bridge,Bridge,7/27/2021,Waterberg,,,6/30/2022,6/30/2021,23566727,44105836,52388450,112850,28708871,30100,207.2,8.4,4,,,,,,,,,,,,,1,0.452,62
1574,P240/1 over Sand river,Bridge,Bridge,7/27/2021,Waterberg,,,6/30/2022,6/30/2021,3635014,7312072,8293152,113490,4544648,30100,32.8,8.4,3.6,,,,,,,,,,,,,1,0.452,62
1576,D928 over river,Bridge,Bridge,7/30/2021,Waterberg,,,6/30/2022,6/20/2021,9654680,17046383,22575000,1632820,11287500,30100,75,10,7.3,,,,,,,,,,,,,1,0.5,50
1583,D11 over river,Bridge,Bridge,8/3/2021,Mopani,,,6/30/2022,8/3/2021,3455277,7686210,7826301,19600,4351424,30100,24.3,10.7,4.5,,,,,,,,,,,,,1,0.444,64
1584,P1/3 over Rail,Bridge,Bridge,9/7/2021,Waterberg,,,6/30/2022,8/16/2021,11668613,21413402,23157130,141525,11346996,30100,53.8,14.3,5.2,,,,,,,,,,,,,1,0.51,49
1593,D368 Over Doring Spruit,Bridge,Bridge,8/14/2021,Vhembe,,,6/30/2022,8/14/2021,4002319,8129485,8861440,180280,4678841,30100,32,9.2,5.88,,,,,,,,,,,,,1,0.472,57
1596,P135/1 over Nwanedzi river,Bridge,Bridge,8/12/2021,Vhembe,,,6/30/2022,8/12/2021,4859484,10482322,10770980,9000,5902500,30100,28.4,12.6,3.14,,,,,,,,,,,,,1,0.452,62
