Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District,Municipality,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
4196,D2701 over Rail,Bridge,Bridge,7/30/2021,,,,Waterberg,,6/30/2022,87.78,92.19
4207,D1483 over Kongo Loop,Bridge,Bridge,8/9/2021,,,,Vhembe,,6/30/2022,94.98,86.4
4208,D1483 over river,Bridge,Bridge,8/9/2021,,,,Vhembe,,6/30/2022,100,100
4210,D1483 Over River,Major Culvert,Culvert Major,8/9/2021,,,,Vhembe,,6/30/2022,100,100
4248,D1483 over river,Bridge,Bridge,8/9/2021,,,,Vhembe,,6/30/2022,90.18,83.11
4249,D1483 over river,Bridge,Bridge,8/9/2021,,,,Vhembe,,6/30/2022,97.39,93.11
4264,D1552 over Strydomsloop,Bridge,Bridge,8/4/2021,,,,Capricorn,,6/30/2022,86.05,85.75
4265,D1836 over Poer se Loop,Bridge,Bridge,7/26/2021,,,,Waterberg,,6/30/2022,78.35,74.9
4266,D1597 over river,Bridge,Bridge,7/27/2021,,,,Mopani,,6/30/2022,92.41,96.96
4283,D972 over river,Bridge,Bridge,7/28/2021,,,,Waterberg,,6/30/2022,93.33,96.66
4284,D972 over river,Bridge,Bridge,8/26/2021,,,,Waterberg,,6/30/2022,91.18,96.29
4297,D2460 over Crocodile river,Bridge,Bridge,8/23/2021,,,,Waterberg,,6/30/2022,83.93,86.07
4298,D148  over river,Bridge,Bridge,8/2/2021,,,,Sekhukhune,,6/30/2022,82.81,82.96
43,D1801 over Ramadipa river,Bridge,Bridge,9/2/2021,,,,Mopani,,6/30/2022,85.56,85.29
4302,D198  over Kruis river,Bridge,Bridge,8/2/2021,,,,Sekhukhune,,6/30/2022,81.25,82.82
4318,D2460 over Elandslaagte spruit,Bridge,Bridge,7/30/2021,,,,Waterberg,,6/30/2022,91.15,95.55
435,D2239 over river,Bridge,Bridge,9/5/2021,,,,Mopani,,6/30/2022,92.86,60.35
4360,D1174 over Nzhelele river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,96.88,92.91
4361,D1034 over Brand Boontjies riv,Bridge,Bridge,8/3/2021,,,,Mopani,,6/30/2022,97.22,93.43
4428,D1675 over Matlabas river,Bridge,Bridge,8/24/2021,,,,Waterberg,,6/30/2022,83.93,91.08
4476,D1925 over Matlabas river,Bridge,Bridge,8/24/2021,,,,Waterberg,,6/30/2022,85.08,87.57
