Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District,Municipality,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
NB032,D1082 over river,Major Culvert,Culvert Major,7/28/2021,,,,Waterberg,,6/30/2022,68.18,70.59
NB033,D1082 over Mokolo river.,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,72.73,55.88
NB036,Drift on road D1200,Bridge,Bridge,8/25/2021,,,,Capricorn,,6/30/2022,100,100
NB037,D1200 over Mogalakwena river,Bridge,Bridge,2/7/2022,,,,Capricorn,,6/30/2022,100,100
NB038,D1253 over Lotanyanda River,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,92.5,73.4
NB040,D1324 over Olifants spruit,Bridge,Bridge,7/27/2021,,,,Waterberg,,6/30/2022,84.56,81.4
NB041,D1371 over Matlabas river,Major Culvert,Culvert Major,7/21/2021,,,,Waterberg,,6/30/2022,98.86,98.38
NB042,D1435 over Dorps river tributary.,,Culvert Lesser,9/16/2021,,,,Waterberg,,6/30/2022,100,100
NB044,D1460 over Palala river,Bridge,Bridge,8/27/2021,,,,Waterberg,,6/30/2022,88.62,73.87
NB045,D1489 over  Sand river,Bridge,Bridge,9/5/2021,,,,Vhembe,,6/30/2022,79.87,46.3
NB046,D15 over river,Bridge,Bridge,8/4/2021,,,,Capricorn,,6/30/2022,86.94,87.28
NB049,D1603 over rooisloot river,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,87.5,80.92
NB050,D1613 over Nzhelele river.,Bridge,Bridge Cellular,2/2/2022,,,,Vhembe,,6/30/2022,83.24,76.76
NB053,D1754 over Palala river,Bridge,Bridge,8/30/2021,,,,Waterberg,,6/30/2022,87.39,73.4
NB057,D1776 over Olifantspruit river.,,Culvert Lesser,9/16/2021,,,,Waterberg,,6/30/2022,,100
NB058,D180 over Plat river,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,84.94,78.91
NB060,D19 over Rail,Bridge,Bridge,7/21/2021,,,,Capricorn,,6/30/2022,96.94,97.62
NB063,D1944 over Elands river,Bridge,Bridge,9/8/2021,,,,Waterberg,,6/30/2022,79.69,58.49
NB064,D1944 over river,Bridge,Bridge,9/7/2021,,,,Waterberg,,6/30/2022,90.85,96.83
NB065,D1958 over river,Bridge,Bridge,9/9/2021,,,,Capricorn,,6/30/2022,94.17,94.28
NB066,D2018 over Mutamba river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,93.53,91.24
NB068,D2037 over Sand river,Bridge,Bridge,8/4/2021,,,,Capricorn,,6/30/2022,85.21,82.08
NB070,D2211 over Goud river,Bridge,Bridge,9/6/2021,,,,Waterberg,,6/30/2022,97.78,87
NB071,D2211 over Palala river,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,78.41,82.06
NB072,NB072 - D240 over Blyde river,Bridge,Bridge Cellular,8/2/2021,,,,,,6/30/2022,100,100
NB073,D2417 over river,Bridge,Bridge,9/8/2021,,,,Waterberg,,6/30/2022,92.17,92.44
NB074,D2417 over Elands river.,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,82.67,83.09
NB075,D2450 over river ,Major Culvert,Culvert Major,7/21/2021,,,,Waterberg,,6/30/2022,90.34,82.67
NB076,D2475 Over River,Major Culvert,Culvert Major,9/2/2021,,,,Vhembe,,6/30/2022,83.52,79.32
NB078,D2536 over Gotwane river.,,Culvert Lesser,9/16/2021,,,,Waterberg,,6/30/2022,100,100
NB079,D2575 over Palala river,Bridge,Bridge,8/30/2021,,,,Waterberg,,6/30/2022,97.32,98.04
NB081,D2665 over river,,Culvert Lesser,7/23/2021,,,,Waterberg,,6/30/2022,,100
NB086,D2745 over Sondagsloop river.,,Culvert Lesser,9/16/2021,,,,Waterberg,,6/30/2022,100,100
NB087,D2748 over Sand river,Bridge,Bridge,7/28/2021,,,,Waterberg,,6/30/2022,88.28,63.79
NB089,D3110 over Lephalala river tributary.,Major Culvert,Culvert Major,9/16/2021,,,,Waterberg,,6/30/2022,95.74,97.56
NB090,D3110 over river.,Major Culvert,Culvert Major,8/27/2021,,,,Waterberg,,6/30/2022,95.74,97.56
NB091,D3123 over Lephalala river tributary.,Major Culvert,Culvert Major,9/16/2021,,,,Waterberg,,6/30/2022,93.47,84.14
NB092,NB092 over river,Major Culvert,Culvert Major,9/3/2021,,,,Vhembe,,6/30/2022,97.16,97.97
NB093,D3150 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,96.99,95.97
NB094,D3150 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,97.66,97.32
NB095,D3164 over Middle Letaba river,Bridge,Bridge,9/3/2021,,,,Vhembe,,6/30/2022,97.32,89.25
NB096,D3164 over river,Bridge,Bridge,9/3/2021,,,,Vhembe,,6/30/2022,93.61,82.26
NB100,D3187 over river,Bridge,Bridge,7/27/2021,,,,Mopani,,6/30/2022,96.11,97.73
NB101,D3211 over river,Bridge,Bridge,7/29/2021,,,,Mopani,,6/30/2022,95.54,97.17
NB102,D3248 over river,Bridge,Bridge,9/6/2021,,,,Mopani,,6/30/2022,94.64,94.64
NB103,D3252 over Lerwatlou river,Bridge,Bridge,8/5/2021,,,,Mopani,,6/30/2022,88.62,82.77
NB104,D3269 over river,Bridge,Bridge,9/9/2021,,,,Waterberg,,6/30/2022,84.04,90.1
NB106,D3275 over Ga-Mmamoleka River,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,90.62,96.89
NB107,D3275 over Mogalakwena River Tributary,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,94.03,97.24
NB108,D3297 over river,Bridge,Bridge,8/25/2021,,,,Capricorn,,6/30/2022,89.72,96.25
NB109,D3297 over Tributary,,Culvert Lesser,2/4/2022,,,,Capricorn,,6/30/2022,100,100
NB110,D3303 over Mogalakwena River Tributary 1,Bridge,Bridge,8/25/2021,,,,Capricorn,,6/30/2022,91.07,94.65
NB111,D3303 over river,Bridge,Bridge,8/25/2021,,,,Capricorn,,6/30/2022,76.34,62.2
NB112,D3322 over Boshela River,Bridge,Bridge,8/20/2021,,,,Capricorn,,6/30/2022,82.33,74.34
NB113,D3355 over river,Bridge,Bridge,7/19/2021,,,,Capricorn,,6/30/2022,76.34,31.82
NB114,D3355 over river,Bridge,Bridge,7/16/2021,,,,Capricorn,,6/30/2022,90.56,97.08
NB115,D3364 over river,Bridge,Bridge,7/21/2021,,,,Capricorn,,6/30/2022,82.78,39.7
NB116,D3370 over river,Bridge,Bridge,7/21/2021,,,,Capricorn,,6/30/2022,84.82,63.68
NB117,D3370 over river,Bridge,Bridge,7/21/2021,,,,Capricorn,,6/30/2022,85.27,82.16
NB118,D3377 over river,Bridge,Bridge,7/16/2021,,,,Capricorn,,6/30/2022,78.24,61.43
NB124,D3500 over Mogalakwena tributary.,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,91.19,83.32
NB125,D3505 over Mogalakwena river tributary.,,Culvert Lesser,9/16/2021,,,,Waterberg,,6/30/2022,100,100
NB126,D3515 over Mokumole tributary.,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,94.6,97.53
NB127,D3515 over river.,Major Culvert,Culvert Major,9/3/2021,,,,Waterberg,,6/30/2022,88.64,83.58
NB128,D3525 over Groot-sandsloot river.,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,88.35,86.52
NB129,D3529 over river,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,83.38,81.61
NB130,Druft on road D3543,,Culvert Lesser,9/3/2021,,,,Waterberg,,6/30/2022,100,100
NB131,D3561 over Mogalakwena river,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,80.87,75.48
NB132,D3571 over Klien Mogolakwena river,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,80.68,66.73
NB133,D3576 over river,Bridge,Bridge,9/7/2021,,,,Waterberg,,6/30/2022,86.94,87.16
NB134,D3576 over river,Bridge,Bridge,9/9/2021,,,,Waterberg,,6/30/2022,80.36,85.82
NB136,#NAME?,Bridge,Bridge Cellular,7/29/2021,,,,,,6/30/2022,89.77,84.83
NB137,D3634 over river,Bridge,Bridge,7/29/2021,,,,Vhembe,,6/30/2022,92.19,91.51
NB138,NB138 - D3634 over river,Major Culvert,Culvert Major,7/29/2021,,,,,,6/30/2022,91.19,88.7
NB139,D3635 over Nsama river,Bridge,Bridge,7/29/2021,,,,Vhembe,,6/30/2022,96.65,96.29
NB140,D3637 Over River,Major Culvert,Culvert Major,9/2/2021,,,,Vhembe,,6/30/2022,95.45,88.65
NB143,D3653 over river.,,Culvert Lesser,2/3/2022,,,,Vhembe,,6/30/2022,100,100
NB144,D3653 over river,,Culvert Lesser,1/26/2022,,,,Vhembe,,6/30/2022,100,100
NB145,D3653 Over River,Bridge,Bridge Cellular,8/30/2021,,,,Vhembe,,6/30/2022,90.28,85
NB146,D3653 over river,Bridge,Bridge,8/30/2021,,,,Vhembe,,6/30/2022,93.92,81.52
NB148,D3671 over Nzhelele river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,96.88,83.96
NB149,D3672 Over River ,Bridge,Bridge Cellular,8/12/2021,,,,Vhembe,,6/30/2022,90.91,85.82
NB150,D3675 Over Nwandezi River,Bridge,Bridge Cellular,8/11/2021,,,,Vhembe,,6/30/2022,99.64,95.94
NB153,D3684 over Mbilili river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,98.21,97.46
NB154,D3685 over river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,96.88,91.73
NB155,D3689 over river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,94.2,93.38
NB156,D3695 over river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,92.86,74.14
NB157,D3695 over river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,92.19,91.14
NB158,D3695 Over River,Major Culvert,Culvert Major,8/31/2021,,,,Vhembe,,6/30/2022,98.3,98.78
NB159,D3695 over river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,92.63,88.58
NB160,D3695 over Mutale river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,95.4,91.04
NB161,D3699 Over River,Major Culvert,Culvert Major,8/11/2021,,,,Vhembe,,6/30/2022,94.03,84.42
NB163,D3708 Over Luvuvhu River,Major Culvert,Culvert Major,8/30/2021,,,,Vhembe,,6/30/2022,91.48,87.53
NB164,D3712 over river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,98.66,93.67
NB167,D3717 over river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,90.62,67.83
NB168,D3718 Over River,Major Culvert,Culvert Major,9/1/2021,,,,Vhembe,,6/30/2022,89.49,81.84
NB170,D3727 over river,Bridge,Bridge Cellular,9/3/2021,,,,Vhembe,,6/30/2022,100,100
NB171,D3734 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,95.54,97
NB172,D3736 over  Mahebe river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,89.72,60.21
NB173,D3740 over Luvuvhu river,Bridge,Bridge,2/7/2022,,,,Vhembe,,6/30/2022,100,100
NB174,D3741 over Khandanama river,Bridge,Bridge,9/4/2021,,,,Vhembe,,6/30/2022,95.54,94.45
NB175,D3742 Over River,Bridge,Bridge Cellular,9/1/2021,,,,Vhembe,,6/30/2022,77.27,82.77
NB176,D3748 Over River ,Bridge,Bridge Cellular,9/2/2021,,,,Vhembe,,6/30/2022,100,100
NB178,D3750 over Luvuvhu river,Bridge,Bridge,9/2/2021,,,,Vhembe,,6/30/2022,88.62,73.97
NB179,D3750 over river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,93.89,78.68
NB180,D3753 over river,Bridge,Bridge,9/3/2021,,,,Vhembe,,6/30/2022,100,100
NB181,D3753 over Luvuvhu river.,Bridge,Bridge Cellular,2/4/2022,,,,Vhembe,,6/30/2022,81.72,57.78
NB182,D3757 over river,,Culvert Lesser,2/4/2022,,,,Vhembe,,6/30/2022,100,100
NB183,D3754 over river.,Major Culvert,Culvert Major,2/4/2022,,,,Vhembe,,6/30/2022,60.23,60
NB184,D3771 over river,Bridge,Bridge,9/22/2021,,,,Mopani,,6/30/2022,100,100
NB185,D3772 over river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,90.85,82.74
NB186,D3902 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,97.22,75.22
NB188,D3811 over Nsami river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,94.64,96.96
NB189,D3827 over Klein Letaba river,Bridge,Bridge,9/3/2021,,,,Vhembe,,6/30/2022,91.41,76.43
NB190,D3830 over river,Bridge,Bridge,8/14/2021,,,,Vhembe,,6/30/2022,97.77,94.94
NB192,D3870 over Letsitele river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,88.39,14.23
NB193,D3908 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,97.5,93.8
NB204,D4016 over river,Bridge,Bridge,7/22/2021,,,,Capricorn,,6/30/2022,82.03,66.35
NB205,D4017 over river,Bridge,Bridge,7/22/2021,,,,Capricorn,,6/30/2022,92.19,72.69
NB206,D4050 over Mohlapitse River,Bridge,Bridge Cellular,8/13/2021,,,,Capricorn,,6/30/2022,91.12,97.09
NB207,D4050 over Mohlapitsi River,Bridge,Bridge Cellular,8/13/2021,,,,Capricorn,,6/30/2022,91.19,89
NB208,D4068 over Matime river,Bridge,Bridge,8/13/2021,,,,Capricorn,,6/30/2022,90.74,69
NB209,D4083 over river,Bridge,Bridge,8/11/2021,,,,Capricorn,,6/30/2022,85.27,57.74
NB210,D4199 over river,Bridge,Bridge,9/1/2021,,,,Sekhukhune,,6/30/2022,84.95,52.79
NB211,D2405 over river,Bridge,Bridge,8/18/2021,,,,Sekhukhune,,6/30/2022,84.71,61.62
NB212,D2405 over river,Major Culvert,Culvert Major,8/18/2021,,,,Sekhukhune,,6/30/2022,96.59,93.11
NB215,D4426 over Lepenya tributarty.,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,87.22,90.43
NB216,D4427 over sandspruit river.,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,83.1,69.29
NB218,D5006 over Matlalane river,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,89.2,84.47
NB219,D522 over Little Nyl river.,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,82.1,81.44
NB221,D617 over river,Bridge,Bridge,7/22/2021,,,,Mopani,,6/30/2022,97.78,98.66
NB223,D693 over Mogol river,Bridge,Bridge Cellular,9/17/2021,,,,Waterberg,,6/30/2022,85.6,39.83
NB224,D3645 over river,Bridge,Bridge,8/30/2021,,,,Vhembe,,6/30/2022,96.21,82.72
NB225,D710 over river,,Culvert Lesser,8/30/2021,,,,Waterberg,,6/30/2022,100,100
NB227,D769 over river,Major Culvert,Culvert Major,8/24/2021,,,,Waterberg,,6/30/2022,69.93,57.87
NB228,D873 over Zwanepoelsdrift,Bridge,Bridge,8/26/2021,,,,Capricorn,,6/30/2022,91.94,97.01
NB229,Drift on road D873,Bridge,Bridge,9/21/2021,,,,Waterberg,,6/30/2022,100,100
NB231,D924 over river,Bridge,Bridge,9/7/2021,,,,Waterberg,,6/30/2022,80.45,62.14
NB232,D928 over river,Bridge,Bridge,8/23/2021,,,,Waterberg,,6/30/2022,77.79,55.77
NB233,D928 over Sand river,Bridge,Bridge,8/24/2021,,,,Waterberg,,6/30/2022,86.16,54.34
NB234,D4 over river,Bridge,Bridge Cellular,2/1/2022,,,,Vhembe,,6/30/2022,98.58,98.21
NB236,D1031 over river,,Culvert Lesser,7/20/2021,,,,Waterberg,,6/30/2022,,100
NB237,D794 over river,Major Culvert,Culvert Major,7/28/2021,,,,Waterberg,,6/30/2022,80.4,82.79
NB238,D3669 over Mutshedzi river,Bridge,Bridge,8/13/2021,,,,Vhembe,,6/30/2022,92.19,72.12
NB241,D3210 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,94.44,94.38
NB242,D3223 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,97.77,97.06
NB243,D3232 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,97.77,97.97
NB244,D3406 over Hout River,Bridge,Bridge,2/4/2022,,,,Capricorn,,6/30/2022,41.07,2.5
NB245,D3666 over Luvuvhu river,Bridge,Bridge,8/30/2021,,,,Vhembe,,6/30/2022,95.09,91.04
NB246,D3753 over river,Bridge,Bridge,2/4/2022,,,,Vhembe,,6/30/2022,100,100
NB247,D3777 over river,Bridge,Bridge,2/4/2022,,,,Vhembe,,6/30/2022,89.29,57.13
NB248,NB248 - D3778 over river,Bridge,Bridge Cellular,7/29/2021,,,,,,6/30/2022,94.03,95.95
NB249,D3779 Over River,Major Culvert,Culvert Major,9/2/2021,,,,Vhembe,,6/30/2022,92.61,83.89
NB250,D3917 Over River,Bridge,Bridge Cellular,8/11/2021,,,,Vhembe,,6/30/2022,88.07,68.9
NB251,D3923 Over River,Major Culvert,Culvert Major,9/2/2021,,,,Vhembe,,6/30/2022,95.74,96.34
NB252,D3923 Over River,Major Culvert,Culvert Major,9/2/2021,,,,Vhembe,,6/30/2022,97.16,97.97
NB253,D3980 over Groot Letaba  river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,94.2,93.11
NB254,D3953 over river,Bridge,Bridge,9/3/2021,,,,Vhembe,,6/30/2022,96.65,92.74
NB255,D4217 over Ngwaritsi river,Bridge,Bridge,8/12/2021,,,,Sekhukhune,,6/30/2022,87.35,82.54
NB257,D4066 over river,Bridge,Bridge,8/19/2021,,,,Capricorn,,6/30/2022,86.5,85.06
NB258,D4000 over river,Bridge,Bridge,8/11/2021,,,,Capricorn,,6/30/2022,88.02,95.57
NB259,D4000 over river,Bridge,Bridge,8/11/2021,,,,Capricorn,,6/30/2022,91.39,97
NB263,D3653 Over River,Major Culvert,Culvert Major,8/30/2021,,,,Vhembe,,6/30/2022,90.06,67.73
NB264,D4426 over Lepenya river,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,93.18,91.14
SB1226,D598 over Rail,Bridge,Bridge,9/2/2021,,,,Waterberg,,6/30/2022,93.53,95.65
UN1,P98/2 over river,Bridge,Bridge Cellular,9/4/2021,,,,Vhembe,,6/30/2022,100,100
UN103,D3709 Over River,Major Culvert,Culvert Major,8/31/2021,,,,Vhembe,,6/30/2022,94.32,88.51
UN104,D3712 Over Mathtane River ,Bridge,Bridge Cellular,8/31/2021,,,,Vhembe,,6/30/2022,95.74,89.66
UN111,D3684 Over River,Major Culvert,Culvert Major,8/13/2021,,,,Vhembe,,6/30/2022,81.53,46.55
UN112,D3684 over river,Bridge,Bridge,8/13/2021,,,,Vhembe,,6/30/2022,97.78,95.4
UN113,D3684 Over River,Major Culvert,Culvert Major,8/13/2021,,,,Vhembe,,6/30/2022,98.01,75.3
UN114,D3669 over river,Bridge,Bridge,8/13/2021,,,,Vhembe,,6/30/2022,93.08,79.98
UN115,D449 Over Mutshedzi River,Major Culvert,Culvert Major,8/13/2021,,,,Vhembe,,6/30/2022,97.16,97.97
UN116,D449 over Mutshedzi river,Major Culvert,Culvert Major,9/4/2021,,,,Vhembe,,6/30/2022,94.32,88.51
UN117,D929 over river,Bridge,Bridge,9/4/2021,,,,Vhembe,,6/30/2022,99.33,86.56
UN119,D8 over river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,96.11,93.61
UN12,D4204 over Mohlaletsi river,Bridge,Bridge,9/22/2021,,,,Sekhukhune,,6/30/2022,100,100
UN120,UN120 - D8,Major Culvert,Culvert Major,9/4/2021,,,,,,6/30/2022,95.74,89.66
UN122,Rail over D523,Bridge,Bridge,8/5/2021,,,,Mopani,,6/30/2022,98.33,98.73
UN123,Rail over D589,Bridge,Bridge,9/2/2021,,,,Mopani,,6/30/2022,97.78,94.03
UN127,D1801 over Rail,Bridge,Bridge,7/31/2021,,,,Mopani,,6/30/2022,100,100
UN13,D4204 over Mohlaletsi,Bridge,Bridge Cellular,8/31/2021,,,,Sekhukhune,,6/30/2022,92.33,69.05
UN132,D3180 over river,Bridge,Bridge,8/3/2021,,,,Mopani,,6/30/2022,98.06,95.62
UN134,D3247 over Nwanedzi River,Bridge,Bridge,9/6/2021,,,,Mopani,,6/30/2022,89.51,77.44
UN135,D5011 over canal,Bridge,Bridge,9/5/2021,,,,Mopani,,6/30/2022,98.89,98.94
UN136,D5011 over river,Bridge,Bridge,9/5/2021,,,,Mopani,,6/30/2022,94.64,92.44
UN137,D5011 over canal,Bridge,Bridge,9/5/2021,,,,Mopani,,6/30/2022,97.78,97.89
UN14,D4050 over Tongwane river,Bridge,Bridge,8/13/2021,,,,Capricorn,,6/30/2022,93.23,92.75
UN155,P43/3 over river,Bridge,Bridge,1/27/2022,,,,Mopani,,6/30/2022,85.94,60.1
UN156,P43/3 over river,Bridge,Bridge,1/27/2022,,,,Mopani,,6/30/2022,77.46,52.89
UN16,Kgotswana River Major Culvert,Major Culvert,Culvert Major,8/13/2021,,,,Capricorn,,6/30/2022,100,100
UN163,D5012 over Rail & Road,Bridge,Bridge,8/2/2021,,,,Mopani,,6/30/2022,98.55,97.09
UN164,D5012 over Rail,Bridge,Bridge,8/2/2021,,,,Mopani,,6/30/2022,99.11,98.94
UN165,D21 over river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,98.21,95.4
UN167,D21 over river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,98.33,98.1
UN168,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,92.86,94.51
UN169,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,98.89,98.94
UN17,D4066 Culvert 1,,Culvert Lesser,8/19/2021,,,,Capricorn,,6/30/2022,100,100
UN170,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,96.39,97.48
UN171,D21 over Moetladimo river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,99.11,98.94
UN172,D21 over Malomanye river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,95.98,97.2
UN173,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,96.88,98.42
UN174,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,96.88,97.08
UN175,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,100,100
UN176,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,97.32,87.33
UN177,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,97.77,97.36
UN178,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,98.89,98.94
UN179,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,98.89,98.94
UN18,D4070 over Hlakaro river,Bridge,Bridge,8/13/2021,,,,Capricorn,,6/30/2022,86.83,95.36
UN180,D21 over river,Bridge,Bridge,9/3/2021,,,,Mopani,,6/30/2022,98.66,94.62
UN181,0,Major Culvert,Culvert Major,8/3/2021,,,,,,6/30/2022,95.74,96.34
UN182,#NAME?,Major Culvert,Culvert Major,8/3/2021,,,,Mopani,,6/30/2022,91.48,87.94
UN184,P43/3 over Reshewele River,Bridge,Bridge,1/26/2022,,,,Mopani,,6/30/2022,85.67,70.93
UN185,D1350 over river,Bridge,Bridge,7/31/2021,,,,Mopani,,6/30/2022,99.44,99.19
UN186,0,Major Culvert,Culvert Major,7/30/2021,,,,,,6/30/2022,94.03,97.17
UN187A,D1350 over river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,98.66,98.73
UN188,D1350 over river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,97.78,98.86
UN189,D1350 over river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,95.56,66.2
UN19,D4090 over Tudumo River,Major Culvert,Culvert Major,8/19/2021,,,,Capricorn,,6/30/2022,88.35,69.98
UN196,D3164 over river,Bridge,Bridge,9/3/2021,,,,Vhembe,,6/30/2022,92.58,82.56
UN197,D3200 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,99.11,99.19
UN198,D3200 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,96.88,97.28
UN199,D3200 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,99.11,98.94
UN20,D4090 over Todumo River Tributary,Major Culvert,Culvert Major,8/19/2021,,,,Capricorn,,6/30/2022,92.14,93.64
UN200,D3200 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,98.44,97.73
UN201,D3200 over river.,,Culvert Lesser,2/3/2022,,,,Mopani,,6/30/2022,100,100
UN202,D3200 over river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,93.75,74.34
UN206N,D3641 Over Nsami Dam,Bridge,Bridge,7/29/2021,,,,Mopani,,6/30/2022,100,100
UN207,D3641 over Shinwedzi river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,97.77,96.96
UN208,D3763 over  Letsitele river,Bridge,Bridge,9/5/2021,,,,Mopani,,6/30/2022,95.09,94.99
UN209,D3810 over Magobe river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,96.88,97.28
UN210,D3810 over river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,99.11,99.19
UN214,#NAME?,Bridge,Bridge Cellular,7/28/2021,,,,,,6/30/2022,92.83,93.23
UN215,D3820 over river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,99.11,99.19
UN216,UN216 - D3820 over river,Major Culvert,Culvert Major,7/29/2021,,,,Mopani,,6/30/2022,100,100
UN217,UN217 - D3820 over river,Major Culvert,Culvert Major,7/29/2021,,,,,,6/30/2022,100,100
UN218,D3912 over river,Bridge,Bridge,9/5/2021,,,,Mopani,,6/30/2022,97.77,97.16
UN22,D4100 over Motseleope river,Bridge,Bridge Cellular,8/13/2021,,,,Sekhukhune,,6/30/2022,95.17,79.98
UN226,D1675 over Conveyor belt,Major Culvert,Culvert Major,9/2/2021,,,,Waterberg,,6/30/2022,93.47,97.02
UN227,D2001 over conveyor,Bridge,Bridge Cellular,9/2/2021,,,,Waterberg,,6/30/2022,98.3,98.13
UN229,D2460 Over river,Major Culvert,Culvert Major,7/22/2021,,,,Waterberg,,6/30/2022,82.95,71.76
UN230,D2509 over Rail,Bridge,Bridge,7/30/2021,,,,Waterberg,,6/30/2022,92.56,94.28
UN231,D2816 over Conveyor,Bridge,Bridge,8/30/2021,,,,Waterberg,,6/30/2022,83.33,90.57
UN232,D2816 over channel,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,92.61,96.57
UN241,D888 over Mogalakwena tributary,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,64.49,36.04
UN245,D1200 over Monoko River,Major Culvert,Culvert Major,8/20/2021,,,,Capricorn,,6/30/2022,62.5,29.25
UN246,D3269 over Mogalakwena tributary.,Major Culvert,Culvert Major,9/14/2021,,,,Waterberg,,6/30/2022,64.91,8.35
UN25,D4100 over Olifants river,Bridge,Bridge,8/12/2021,,,,Sekhukhune,,6/30/2022,74.93,19.25
